sample1,,sample2,,sample3,,sample4,,sample5,,sample6,,vzorek1,,vzorek2,,vzorek3,,specimen0,,specimen1,,specimen2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9938354,0.7408149838,500.0147095,0.7700081468,600.0081787,0.750652492,600.0081787,0.7498547435,600.0081787,0.7499467731,999.9953613,0.6984975934,999.9953613,0.6876165867,500.0147095,0.7659025192,500.0147095,0.7648489475,500.0147095,0.7681062818,500.0147095,0.7631884217,999.9953613,0.687135756,
799.5066528,0.7392756939,497.9993286,0.7682259679,594.991394,0.7445366383,594.991394,0.7461146712,599.0053711,0.7495952845,995.0074463,0.6976602077,995.0074463,0.6965430379,494.9935913,0.7666732073,498.9881592,0.7673704624,498.9881592,0.7646755576,494.9935913,0.76496768,999.8061523,0.6840541959,
798.9846802,0.742839992,495.9830933,0.76649791,590.0053101,0.7461853027,590.0053101,0.7495768666,598.0023193,0.7468417287,990.0045776,0.7027863264,990.0045776,0.6987606883,490.0053711,0.7667600513,497.9993286,0.7664198875,497.9993286,0.7666053772,490.0053711,0.7702445984,999.5855713,0.6885287166,
798.4973755,0.7408439517,494.0039673,0.7730370164,585.0128174,0.747364819,585.0128174,0.7512364388,596.9989014,0.7453870773,984.9868164,0.7050513029,984.9868164,0.7137942314,485.0121155,0.776470542,497.0103149,0.7644456625,497.0103149,0.7660753131,485.0121155,0.7724605799,999.3962402,0.6913735271,
798.0098877,0.740529716,491.9860535,0.774148941,580.0140381,0.7467267513,580.0140381,0.7496138215,595.9953003,0.7468119264,979.9860229,0.721416831,979.9860229,0.7254024148,480.0137329,0.7634735703,495.9830933,0.7646995187,495.9830933,0.7651763558,480.0137329,0.7702376246,999.2070923,0.6914135814,
797.4876099,0.7399032116,490.0053711,0.7688625455,575.0088501,0.7493044734,575.0088501,0.747949779,594.991394,0.7462264299,975.0028076,0.7270534635,975.0028076,0.725107193,475.0105286,0.7732192874,494.9935913,0.7684119344,494.9935913,0.7688407898,475.0105286,0.7743761539,998.9863281,0.6884781718,
797,0.7366145849,487.9858093,0.7710279226,569.9975586,0.7464133501,569.9975586,0.7468087077,593.9873047,0.7477644086,970.0053101,0.7479632497,970.0053101,0.757240653,470.0023193,0.7750163674,494.0039673,0.7695205212,494.0039673,0.769030869,470.0023193,0.7713668346,998.7970581,0.687615633,
796.5122681,0.7396122217,486.00354,0.7657454014,565.0174561,0.7463091612,565.0174561,0.7496519089,592.9828491,0.7486336827,964.9935913,0.7701798081,964.9935913,0.7788319588,464.9892578,0.7787960172,493.0141602,0.7717641592,493.0141602,0.7733968496,464.9892578,0.7736938596,998.6078491,0.6944770217,
795.989563,0.7397922873,483.9822998,0.7731261253,559.9939575,0.746555388,559.9939575,0.7350888848,592.0153809,0.7501578927,959.9998169,0.8155536056,959.9998169,0.8146284819,460.0097046,0.7791393399,491.9860535,0.766872704,491.9860535,0.7684671879,460.0097046,0.7812413573,998.3869019,0.6869701743,
795.5016479,0.7411155701,481.9984741,0.7660560608,555.0018921,0.7522345781,555.0018921,0.7504168153,591.010437,0.7485580444,954.9923706,0.8598202467,954.9923706,0.862293005,454.9871521,0.7864573002,490.9958191,0.7625630498,490.9958191,0.7639849782,454.9871521,0.783388257,998.1976318,0.6941569448,
795.0136108,0.7407041788,480.0137329,0.771488905,550.0039063,0.7470372319,550.0039063,0.7478080392,590.0053101,0.7468366027,950.003479,0.9581887722,950.003479,0.9585132599,449.99823,0.7881488204,490.0053711,0.770522356,490.0053711,0.7675150633,449.99823,0.7875621915,998.0082397,0.691830337,
794.4907227,0.7395002842,477.9900818,0.7717632651,545.000061,0.7469914556,545.000061,0.7457204461,588.9998779,0.7480579019,945.0009155,1.025741339,945.0009155,1.031884193,445.0048218,0.7882269621,489.01474,0.7734883428,489.01474,0.7730277777,445.0048218,0.7911358476,997.7873535,0.6941503286,
794.0025024,0.7372642159,476.0039063,0.7730095983,539.9904785,0.7464997768,539.9904785,0.7412545681,587.9941406,0.7478547096,939.9849243,0.9973796606,939.9849243,1.001695752,440.0068054,0.7955480218,487.9858093,0.7704300284,487.9858093,0.7691198587,440.0068054,0.7917999029,997.5978394,0.6901938915,
793.5141602,0.740473628,474.0168762,0.7713058591,535.0127563,0.7496882081,535.0127563,0.7500646114,586.9881592,0.7467588782,934.9882813,0.822422564,934.9882813,0.8198759556,435.0042725,0.793661952,486.994812,0.7670447826,486.994812,0.7664302588,435.0042725,0.7936366796,997.4085693,0.694509685,
792.9909668,0.7387303114,471.9908447,0.7741187811,529.9916992,0.7565727234,529.9916992,0.7551813722,585.9819946,0.7470953465,930.0111084,0.7437452674,930.0111084,0.7513881922,429.997406,0.797655344,486.00354,0.7682794929,486.00354,0.7677075863,429.997406,0.8003695607,997.187561,0.6924551129,
792.5024414,0.7405676842,470.0023193,0.7734946609,525.0028687,0.7504687905,525.0028687,0.7496250272,585.0128174,0.7465305328,924.9880371,0.7341353893,924.9880371,0.7328020334,424.986145,0.8006556034,485.0121155,0.775487721,485.0121155,0.7745860815,424.986145,0.8071870804,996.9980469,0.6922835112,
